AVERAGE(start_time,end_time,latency,request_type,response_code
1.67637E+12,1.67637E+12,281,POST,201
1.67637E+12,1.67637E+12,301,POST,201
1.67637E+12,1.67637E+12,305,POST,201
1.67637E+12,1.67637E+12,305,POST,201
1.67637E+12,1.67637E+12,304,POST,201
1.67637E+12,1.67637E+12,282,POST,201
1.67637E+12,1.67637E+12,284,POST,201
1.67637E+12,1.67637E+12,288,POST,201
1.67637E+12,1.67637E+12,279,POST,201
1.67637E+12,1.67637E+12,287,POST,201
1.67637E+12,1.67637E+12,279,POST,201
1.67637E+12,1.67637E+12,289,POST,201
1.67637E+12,1.67637E+12,306,POST,201
1.67637E+12,1.67637E+12,306,POST,201
1.67637E+12,1.67637E+12,298,POST,201
1.67637E+12,1.67637E+12,297,POST,201
1.67637E+12,1.67637E+12,296,POST,201
1.67637E+12,1.67637E+12,304,POST,201
1.67637E+12,1.67637E+12,306,POST,201
1.67637E+12,1.67637E+12,304,POST,201
1.67637E+12,1.67637E+12,302,POST,201
1.67637E+12,1.67637E+12,279,POST,201
1.67637E+12,1.67637E+12,278,POST,201
1.67637E+12,1.67637E+12,286,POST,201
1.67637E+12,1.67637E+12,302,POST,201
1.67637E+12,1.67637E+12,284,POST,201
1.67637E+12,1.67637E+12,280,POST,201
1.67637E+12,1.67637E+12,303,POST,201
1.67637E+12,1.67637E+12,300,POST,201
1.67637E+12,1.67637E+12,282,POST,201
1.67637E+12,1.67637E+12,279,POST,201
1.67637E+12,1.67637E+12,307,POST,201
1.67637E+12,1.67637E+12,279,POST,201
1.67637E+12,1.67637E+12,288,POST,201
1.67637E+12,1.67637E+12,288,POST,201
1.67637E+12,1.67637E+12,288,POST,201
1.67637E+12,1.67637E+12,280,POST,201
1.67637E+12,1.67637E+12,282,POST,201
1.67637E+12,1.67637E+12,303,POST,201
1.67637E+12,1.67637E+12,285,POST,201
1.67637E+12,1.67637E+12,304,POST,201
1.67637E+12,1.67637E+12,304,POST,201
1.67637E+12,1.67637E+12,303,POST,201
1.67637E+12,1.67637E+12,282,POST,201
1.67637E+12,1.67637E+12,297,POST,201
1.67637E+12,1.67637E+12,305,POST,201
1.67637E+12,1.67637E+12,288,POST,201
1.67637E+12,1.67637E+12,306,POST,201
1.67637E+12,1.67637E+12,287,POST,201
1.67637E+12,1.67637E+12,281,POST,201
1.67637E+12,1.67637E+12,285,POST,201
1.67637E+12,1.67637E+12,301,POST,201
1.67637E+12,1.67637E+12,284,POST,201
1.67637E+12,1.67637E+12,282,POST,201
1.67637E+12,1.67637E+12,308,POST,201
1.67637E+12,1.67637E+12,285,POST,201
1.67637E+12,1.67637E+12,299,POST,201
1.67637E+12,1.67637E+12,290,POST,201
1.67637E+12,1.67637E+12,287,POST,201
1.67637E+12,1.67637E+12,284,POST,201
1.67637E+12,1.67637E+12,289,POST,201
1.67637E+12,1.67637E+12,6,POST,201
1.67637E+12,1.67637E+12,313,POST,201
1.67637E+12,1.67637E+12,288,POST,201
1.67637E+12,1.67637E+12,288,POST,201
1.67637E+12,1.67637E+12,292,POST,201
1.67637E+12,1.67637E+12,307,POST,201
1.67637E+12,1.67637E+12,303,POST,201
1.67637E+12,1.67637E+12,289,POST,201
1.67637E+12,1.67637E+12,289,POST,201
1.67637E+12,1.67637E+12,313,POST,201
1.67637E+12,1.67637E+12,290,POST,201
1.67637E+12,1.67637E+12,295,POST,201
1.67637E+12,1.67637E+12,316,POST,201
1.67637E+12,1.67637E+12,10,POST,201
1.67637E+12,1.67637E+12,10,POST,201
1.67637E+12,1.67637E+12,10,POST,201
1.67637E+12,1.67637E+12,10,POST,201
1.67637E+12,1.67637E+12,10,POST,201
1.67637E+12,1.67637E+12,11,POST,201
1.67637E+12,1.67637E+12,292,POST,201
1.67637E+12,1.67637E+12,290,POST,201
1.67637E+12,1.67637E+12,9,POST,201
1.67637E+12,1.67637E+12,15,POST,201
1.67637E+12,1.67637E+12,320,POST,201
1.67637E+12,1.67637E+12,296,POST,201
1.67637E+12,1.67637E+12,295,POST,201
1.67637E+12,1.67637E+12,9,POST,201
1.67637E+12,1.67637E+12,301,POST,201
1.67637E+12,1.67637E+12,299,POST,201
1.67637E+12,1.67637E+12,300,POST,201
1.67637E+12,1.67637E+12,316,POST,201
1.67637E+12,1.67637E+12,305,POST,201
1.67637E+12,1.67637E+12,21,POST,201
1.67637E+12,1.67637E+12,305,POST,201
1.67637E+12,1.67637E+12,328,POST,201
1.67637E+12,1.67637E+12,308,POST,201
1.67637E+12,1.67637E+12,302,POST,201
1.67637E+12,1.67637E+12,5,POST,201
1.67637E+12,1.67637E+12,6,POST,201
1.67637E+12,1.67637E+12,328,POST,201
1.67637E+12,1.67637E+12,18,POST,201
1.67637E+12,1.67637E+12,22,POST,201
1.67637E+12,1.67637E+12,26,POST,201
1.67637E+12,1.67637E+12,8,POST,201
1.67637E+12,1.67637E+12,29,POST,201
1.67637E+12,1.67637E+12,20,POST,201
1.67637E+12,1.67637E+12,31,POST,201
1.67637E+12,1.67637E+12,21,POST,201
1.67637E+12,1.67637E+12,314,POST,201
1.67637E+12,1.67637E+12,311,POST,201
1.67637E+12,1.67637E+12,337,POST,201
1.67637E+12,1.67637E+12,31,POST,201
1.67637E+12,1.67637E+12,24,POST,201
1.67637E+12,1.67637E+12,32,POST,201
1.67637E+12,1.67637E+12,34,POST,201
1.67637E+12,1.67637E+12,35,POST,201
1.67637E+12,1.67637E+12,27,POST,201
1.67637E+12,1.67637E+12,30,POST,201
1.67637E+12,1.67637E+12,39,POST,201
1.67637E+12,1.67637E+12,38,POST,201
1.67637E+12,1.67637E+12,30,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,31,POST,201
1.67637E+12,1.67637E+12,38,POST,201
1.67637E+12,1.67637E+12,39,POST,201
1.67637E+12,1.67637E+12,31,POST,201
1.67637E+12,1.67637E+12,33,POST,201
1.67637E+12,1.67637E+12,33,POST,201
1.67637E+12,1.67637E+12,41,POST,201
1.67637E+12,1.67637E+12,41,POST,201
1.67637E+12,1.67637E+12,323,POST,201
1.67637E+12,1.67637E+12,6,POST,201
1.67637E+12,1.67637E+12,43,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,44,POST,201
1.67637E+12,1.67637E+12,34,POST,201
1.67637E+12,1.67637E+12,5,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,33,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,10,POST,201
1.67637E+12,1.67637E+12,6,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,6,POST,201
1.67637E+12,1.67637E+12,6,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,33,POST,201
1.67637E+12,1.67637E+12,37,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,39,POST,201
1.67637E+12,1.67637E+12,17,POST,201
1.67637E+12,1.67637E+12,19,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,35,POST,201
1.67637E+12,1.67637E+12,5,POST,201
1.67637E+12,1.67637E+12,47,POST,201
1.67637E+12,1.67637E+12,17,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,5,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,5,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,19,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,5,POST,201
1.67637E+12,1.67637E+12,6,POST,201
1.67637E+12,1.67637E+12,24,POST,201
1.67637E+12,1.67637E+12,40,POST,201
1.67637E+12,1.67637E+12,37,POST,201
1.67637E+12,1.67637E+12,41,POST,201
1.67637E+12,1.67637E+12,56,POST,201
1.67637E+12,1.67637E+12,56,POST,201
1.67637E+12,1.67637E+12,30,POST,201
1.67637E+12,1.67637E+12,58,POST,201
1.67637E+12,1.67637E+12,26,POST,201
1.67637E+12,1.67637E+12,58,POST,201
1.67637E+12,1.67637E+12,41,POST,201
1.67637E+12,1.67637E+12,27,POST,201
1.67637E+12,1.67637E+12,59,POST,201
1.67637E+12,1.67637E+12,43,POST,201
1.67637E+12,1.67637E+12,14,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,11,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,5,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,2,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,361,POST,201
1.67637E+12,1.67637E+12,53,POST,201
1.67637E+12,1.67637E+12,64,POST,201
1.67637E+12,1.67637E+12,53,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,64,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,55,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,66,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,4,POST,201
1.67637E+12,1.67637E+12,3,POST,201
1.67637E+12,1.67637E+12,44,POST,201
1.67637E+12,1.67637E+12,47,POST,201
1.67637E+12,1.67637E+12,4,POST,201
